latitude,longitude,altitude,geometry,id,name,coordinates,totalDocks,docksAvailable,bikesAvailable,classicBikesAvailable,smartBikesAvailable,electricBikesAvailable,rewardBikesAvailable,rewardDocksAvailable,kioskStatus,kioskPublicStatus,kioskConnectionStatus,kioskType,addressStreet,addressCity,addressState,addressZipCode,bikes,closeTime,eventEnd,eventStart,isEventBased,isVirtual,kioskId,notes,openTime,publicText,timeZone,trikesAvailable
39.97583,-75.16846,,Point,,3200,Ridge & Master,17,12,5,0,0,5,5,12,FullService,Active,Active,1,2001 Ridge Ave.,Philadelphia,PA,19121,2|true|true|0.8|4|true|true|0.8|12|true|true|0.8|14|true|true|0.8|16|true|true|0.8,,,,false,false,3200,,,,,0
39.95523,-75.1662,,Point,,3201,16th & Arch,20,10,10,10,0,0,10,10,FullService,Active,Active,1,107 16th Street,Philadelphia,PA,19102,1|false|true|null|2|false|true|null|3|false|true|null|5|false|true|null|6|false|true|null|9|false|true|null|11|false|true|null|16|false|true|null|19|false|true|null|20|false|true|null,,,,false,false,3201,,,,,0
39.95134,-75.16758,,Point,,3202,16th & Chestnut,21,2,17,14,0,3,17,2,FullService,Active,Active,1,1603 Chestnut St.,Philadelphia,PA,19102,1|false|true|null|2|false|true|null|3|false|true|null|4|false|true|null|5|true|true|0.8|6|false|true|null|7|false|true|null|8|false|true|null|10|true|true|0.8|11|false|false|null|12|false|true|null|13|true|true|0.8|14|false|false|null|16|false|true|null|17|false|true|null|18|false|true|null|19|false|true|null|20|false|true|null|21|false|true|null,,,,false,false,3202,,,,,0
39.94077,-75.17227,,Point,,3203,18th & Christian,20,14,5,5,0,0,5,15,FullService,Active,Active,1,1798 Christian St,Philadelphia,PA,19146,2|false|true|null|7|false|true|null|15|false|true|null|17|false|true|null|18|false|false|null|20|false|true|null,,,,false,false,3203,,,,,0
39.96437,-75.16582,,Point,,3204,17th & Green,22,17,5,5,0,0,5,17,FullService,Active,Active,1,1698 Green St,Philadelphia,PA,19130,1|false|true|null|4|false|true|null|5|false|true|null|6|false|true|null|7|false|true|null,,,,false,false,3204,,,,,0
39.95405,-75.16783,,Point,,3205,17th & JFK,20,11,9,9,0,0,9,11,FullService,Active,Active,1,1617 John F. Kennedy Blvd,Philadelphia,PA,19103,1|false|true|null|2|false|true|null|3|false|true|null|4|false|true|null|6|false|true|null|7|false|true|null|11|false|true|null|12|false|true|null|17|false|true|null,,,,false,false,3205,,,,,0
39.95174,-75.17063,,Point,,3206,18th & Chestnut,21,17,4,4,0,0,4,17,FullService,Active,Active,1,1805 Chestnut St,Philadelphia,PA,19103,4|false|true|null|5|false|true|null|17|false|true|null|21|false|true|null,,,,false,false,3206,,,,,0
39.95441,-75.192,,Point,,3207,34th & Chestnut,22,15,5,4,0,1,5,17,FullService,Active,Active,1,3400 Chestnut St,Philadelphia,PA,19104,1|true|true|0.8|2|false|true|null|3|false|true|null|4|false|false|null|8|false|false|null|9|false|true|null|22|false|true|null,,,,false,false,3207,,,,,0
39.95048,-75.19324,,Point,,3208,34th & Spruce,28,4,22,13,0,9,22,4,FullService,Active,Active,1,3566 Spruce St,Philadelphia,PA,19104,1|true|true|0.8|3|true|true|0.8|4|false|true|null|5|true|true|0.8|7|false|false|null|9|false|true|null|10|false|false|null|12|false|true|null|13|true|true|0.8|14|true|true|0.8|15|true|true|0.8|16|true|true|0.8|17|false|true|null|18|true|true|0.8|19|false|true|null|20|false|true|null|21|false|true|null|22|false|true|null|23|false|true|null|24|true|true|0.8|25|false|true|null|26|false|true|null|27|false|true|null|28|false|true|null,,,,false,false,3208,,,,,0
39.949,-75.21278,,Point,,3209,45th & Baltimore,14,13,0,0,0,0,0,14,FullService,Active,Active,1,980 45th St,Philadelphia,PA,19104,7|false|false|null,,,,false,false,3209,,,,,0
39.98492,-75.15668,,Point,,3210,Broad & Diamond,18,14,3,2,0,1,4,14,FullService,Active,Active,1,2108 N Broad St,Philadelphia,PA,19121,12|true|true|0.8|13|false|false|null|15|false|true|null|16|false|true|null,,,,false,false,3210,,,,,0
39.97172,-75.1706,,Point,,3211,Corinthian & Poplar,30,25,4,4,0,0,4,26,FullService,Active,Active,1,777 Corinthian Ave.,Philadelphia,PA,19130,1|false|true|null|5|false|true|null|8|false|true|null|13|false|true|null|16|false|false|null,,,,false,false,3211,,,,,0
39.96379,-75.18158,,Point,,3212,Schuylkill Banks Pergola,32,22,9,6,0,3,9,23,FullService,Active,Active,1,2600 Martin Luther King drive,Philadelphia,PA,19130,2|true|true|0.8|10|true|true|0.8|14|false|true|null|17|false|true|null|18|false|true|null|22|false|true|null|24|true|true|0.8|26|false|true|null|31|false|true|null|32|false|false|null,,,,false,false,3212,,,,,0
39.93887,-75.16663,,Point,,3213,Broad & Carpenter,6,3,3,3,0,0,3,3,FullService,Active,Active,10,1000 S Broad St,Philadelphia ,PA,19146,2|false|true|null|4|false|true|null|6|false|true|null,,,,false,false,3213,,,,,0
39.97891,-75.1578,,Point,,3214,Broad & Cecil B Moore,7,0,1,1,0,0,1,0,FullService,Active,Active,10,1052 N Broad St,Philadelphia ,PA,19121,1|false|false|null|2|false|false|null|3|true|false|0.8|4|false|false|null|5|false|false|null|6|true|false|0.8|7|false|true|null,,,,false,false,3214,,,,,0
